ANO;MES;SENADOR;TIPO_DESPESA;CNPJ_CPF;FORNECEDOR;DOCUMENTO;DATA;DETALHAMENTO;VALOR_DESPESA;COD_DOCUMENTO
2022;4;ACIR GURGACZ;Divulgação da atividade parlamentar;08.941.827/0001-01;RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA;000000000001837/A;04/04/2022;Despesa com divulgação da atividade parlamentar;1000;2177658
2022;4;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;4;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;4;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;4;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
